Title,Link,Job Type,Campany,Location
PROJECT PORTFOLIO MANAGER,https://wuzzuf.net/jobs/p/g/04H2a9UA17ZK-PROJECT-PORTFOLIO-MANAGER-Oracle-Dubai-United-Arab-Emirates,Full Time,Oracle -,"Dubai, United Arab Emirates "
Regional Sales Manager META,https://wuzzuf.net/jobs/p/g/wI5P8759fa0f-Regional-Sales-Manager-META-SentinelOne-Riyadh-Saudi-Arabia,Full Time,SentinelOne -,"Riyadh, Saudi Arabia "
QA Automation Engineer,https://wuzzuf.net/jobs/p/g/FQTJ77fd3eEr-QA-Automation-Engineer-Gulf-Business-Machines-PND-Riyadh-Saudi-Arabia,Full Time,Gulf Business Machines PND -,"Riyadh, Saudi Arabia "
Technical Product Owner,https://wuzzuf.net/jobs/p/g/nMiSxicvCHz4-Technical-Product-Owner-Ericsson-Cairo-Egypt,Full Time,Ericsson -,"Cairo, Egypt "
Cloud Tech Lead [Palantir Foundry],https://wuzzuf.net/jobs/p/g/MnOIiKfvQdeQ-Cloud-Tech-Lead-Palantir-Foundry-Merck-Group-Cairo-Egypt,Full Time,Merck Group -,"Cairo, Egypt "
Cloud Backend Developer,https://wuzzuf.net/jobs/p/g/e9GCfKCTp0xL-Cloud-Backend-Developer-Ericsson-Cairo-Egypt,Full Time,Ericsson -,"Cairo, Egypt "
Channel Sales Manager,https://wuzzuf.net/jobs/p/g/hiHJFmPeGpjz-Channel-Sales-Manager-WEKA-Dubai-United-Arab-Emirates,Full Time,WEKA -,"Dubai, United Arab Emirates "
Mechanical Design Engineer,https://wuzzuf.net/jobs/p/g/OWuO1W6jI1Fy-Mechanical-Design-Engineer-Raqtan-Riyadh-Saudi-Arabia,Full Time,Raqtan -,"Riyadh, Saudi Arabia "
Performance Marketing Lead,https://wuzzuf.net/jobs/p/g/zej6QZOckINC-Performance-Marketing-Lead-Edelman-DXI-Dubai-United-Arab-Emirates,Full Time,Edelman DXI -,"Dubai, United Arab Emirates "
Sr. Cloud Backend Developer,https://wuzzuf.net/jobs/p/g/EKWhmGtdVF5b-Sr-Cloud-Backend-Developer-Ericsson-Cairo-Egypt,Full Time,Ericsson -,"Cairo, Egypt "
Data Analyst - GLOBALLY REMOTE,https://wuzzuf.net/jobs/p/g/z31As1XGm4gl-Data-Analyst---GLOBALLY-REMOTE-Amini-Dubai-United-Arab-Emirates,Full Time,Amini -,"Dubai, United Arab Emirates "
Senior Enterprise Account Executive,https://wuzzuf.net/jobs/p/g/iWk3AwvHlEwf-Senior-Enterprise-Account-Executive-udacity-Riyadh-Saudi-Arabia,Full Time,udacity -,"Riyadh, Saudi Arabia "
"Software Development in Test Cairo, EG",https://wuzzuf.net/jobs/p/g/ER72Z5w3mzD3-Software-Development-in-Test-Cairo-EG-Incorta-Inc-Cairo-Egypt,Full Time,Incorta Inc -,"Cairo, Egypt "
QNB2683-Senior Associate Sponsorships (Qatarization),https://wuzzuf.net/jobs/p/g/w1rQUObkXItD-QNB2683-Senior-Associate-Sponsorships-Qatarization-QNB-Group-Doha-Qatar,Full Time,QNB Group -,"Doha, Qatar "
Software Development in Test,https://wuzzuf.net/jobs/p/g/pxx5balrq7EG-Software-Development-in-Test-Incorta-Cairo-Egypt,Full Time,Incorta -,"Cairo, Egypt "
Principal Cloud Developer,https://wuzzuf.net/jobs/p/g/NdxZ3CA1jmdw-Principal-Cloud-Developer-Ericsson-Cairo-Egypt,Full Time,Ericsson -,"Cairo, Egypt "
Non-Destructive Testing Engineer,https://wuzzuf.net/jobs/p/g/Jj7Dslkhjc6A-Non-Destructive-Testing-Engineer-aramco-Riyadh-Saudi-Arabia,Full Time,aramco -,"Riyadh, Saudi Arabia "
HR Data Scientist | Group HR,https://wuzzuf.net/jobs/p/g/20khihh9Xol8-HR-Data-Scientist-Group-HR-Al-Futtaim-Health-Dubai-United-Arab-Emirates,Full Time,Al-Futtaim Health -,"Dubai, United Arab Emirates "
Deloitte Consulting | Fresh Graduates | Emiratis,https://wuzzuf.net/jobs/p/g/tnA9sV89i8pe-Deloitte-Consulting-Fresh-Graduates-Emiratis-Deloitte-Dubai-United-Arab-Emirates,Full Time,Deloitte -,"Dubai, United Arab Emirates "
"QNB2862-Assistant Vice President, Data Science",https://wuzzuf.net/jobs/p/g/ldKFIH06PByl-QNB2862-Assistant-Vice-President-Data-Science-QNB-Group-Doha-Qatar,Full Time,QNB Group -,"Doha, Qatar "
"Solution Consultant, Doha",https://wuzzuf.net/jobs/p/g/GpMkzJRdbSEO-Solution-Consultant-Doha-Denodo-Riyadh-Saudi-Arabia,Full Time,Denodo -,"Riyadh, Saudi Arabia "
KEY ACCOUNT DIRECTOR EVENTS (f/m/d) - PHARMA,https://wuzzuf.net/jobs/p/g/XFJVbejsfxgR-KEY-ACCOUNT-DIRECTOR-EVENTS-fmd---PHARMA-Egg-Dubai-United-Arab-Emirates,Full Time,Egg -,"Dubai, United Arab Emirates "
FullStack Developer,https://wuzzuf.net/jobs/p/g/OsyldLJ8ElZW-FullStack-Developer-Gulf-Business-Machines-PND-Riyadh-Saudi-Arabia,Full Time,Gulf Business Machines PND -,"Riyadh, Saudi Arabia "
Solution Consultant Middle East,https://wuzzuf.net/jobs/p/g/Ogel57FHMpMv-Solution-Consultant-Middle-East-Denodo-Riyadh-Saudi-Arabia,Full Time,Denodo -,"Riyadh, Saudi Arabia "
QNB2659-Senior Manager HR Business Partner,https://wuzzuf.net/jobs/p/g/p409skcfwbGD-QNB2659-Senior-Manager-HR-Business-Partner-QNB-Group-Doha-Qatar,Full Time,QNB Group -,"Doha, Qatar "
"QNB2863-Senior Manager, Data Analysis",https://wuzzuf.net/jobs/p/g/iZvhGt8ZFWuH-QNB2863-Senior-Manager-Data-Analysis-QNB-Group-Doha-Qatar,Full Time,QNB Group -,"Doha, Qatar "
"Sr Solutions Architect, AGS-EMEA-Field-MENAT-PS ENT - Testing V2 Feed",https://wuzzuf.net/jobs/p/g/LKShSSkgwl8a-Sr-Solutions-Architect-AGS-EMEA-Field-MENAT-PS-ENT---Testing-V2-Feed-Amazon-Web-Services-AWS-Dubai-United-Arab-Emirates,Full Time,Amazon Web Services (AWS) -,"Dubai, United Arab Emirates "
Test Automation Engineer,https://wuzzuf.net/jobs/p/g/k4GiyIdVjCwN-Test-Automation-Engineer-Ericsson-Cairo-Egypt,Full Time,Ericsson -,"Cairo, Egypt "
QNB2884-Senior Manager Recruitment Sourcing,https://wuzzuf.net/jobs/p/g/om5u3JC1PmgG-QNB2884-Senior-Manager-Recruitment-Sourcing-QNB-Group-Doha-Qatar,Full Time,QNB Group -,"Doha, Qatar "
Production Assistant,https://wuzzuf.net/jobs/p/g/d9N46ifaqewz-Production-Assistant-SNAP14-Production-Cairo-Egypt,Full Time,SNAP14 Production -,"Cairo, Egypt "
Business Intelligence Developer / Data Management Engineer,https://wuzzuf.net/jobs/p/g/Kx2a6MSttapd-Business-Intelligence-Developer-Data-Management-Engineer-Prometeia-Cairo-Egypt,Full Time,Prometeia -,"Cairo, Egypt "
Oracle Functional Test Lead,https://wuzzuf.net/jobs/p/g/OVIRpfMchggn-Oracle-Functional-Test-Lead-Cognizant-Riyadh-Saudi-Arabia,Full Time,Cognizant -,"Riyadh, Saudi Arabia "
Global Svc Methodology Manager,https://wuzzuf.net/jobs/p/g/u6kA3pKo0ukj-Global-Svc-Methodology-Manager-ADP-Dubai-United-Arab-Emirates,Freelance / Project,ADP -,"Dubai, United Arab Emirates "
Customer Relation Center Specialist,https://wuzzuf.net/jobs/p/g/b4n77yZQNosE-Customer-Relation-Center-Specialist-Nestlé-Nespresso-SA-Makkah-Saudi-Arabia,Full Time,Nestlé Nespresso SA -,"Makkah, Saudi Arabia "
Cloud DevOps Engineer,https://wuzzuf.net/jobs/p/g/XaHcolzCH0bq-Cloud-DevOps-Engineer-SMART-Technology-Solutions-Cairo-Egypt,Full Time,SMART Technology Solutions -,"Cairo, Egypt "
Business Development Manager,https://wuzzuf.net/jobs/p/g/MWQ45iHi2cUf-Business-Development-Manager-Frost-Sullivan-Riyadh-Saudi-Arabia,Full Time,Frost & Sullivan -,"Riyadh, Saudi Arabia "
EMEA Start up Venture Capital,https://wuzzuf.net/jobs/p/g/983ArMJCsLpZ-EMEA-Start-up-Venture-Capital-Oracle-Dubai-United-Arab-Emirates,Full Time,Oracle -,"Dubai, United Arab Emirates "
Product Manager,https://wuzzuf.net/jobs/p/g/A9i8xc1PzsAH-Product-Manager-Lean-Technologies-Riyadh-Saudi-Arabia,Full Time,Lean Technologies -,"Riyadh, Saudi Arabia "
QTMS Tester,https://wuzzuf.net/jobs/p/g/uEOiojVlt9Of-QTMS-Tester-Cognizant-Riyadh-Saudi-Arabia,Full Time,Cognizant -,"Riyadh, Saudi Arabia "
Chief Engineer,https://wuzzuf.net/jobs/p/g/wvrRc7G1q7sG-Chief-Engineer-Ennismore-Kuwait-City-Kuwait,Full Time,Ennismore -,"Kuwait City, Kuwait "
Senior Techno-Functional Consultant/Technical Lead Oracle Technology PaaS4SaaS (OIC) # Join OFS,https://wuzzuf.net/jobs/p/g/oF0HObQdc4Wv-Senior-Techno-Functional-ConsultantTechnical-Lead-Oracle-Technology-PaaS4SaaS-OIC-Join-OFS-Oracle-Cairo-Egypt,Full Time,Oracle -,"Cairo, Egypt "
Data Insights Analyst,https://wuzzuf.net/jobs/p/g/4MKCrxNAs0Cc-Data-Insights-Analyst-Sonymusic-Dubai-United-Arab-Emirates,Full Time,Sonymusic -,"Dubai, United Arab Emirates "
